Modèle,Méthode de réduction de dimensions,Score ARI,Durée totale,Durée de prétraitement,Durée d'extraction des features,Accuracy
CountVectorizer,t-SNE,0.3960151074382854,5.94 secs,5.84 secs,0.1 secs,-
Tf-idf,t-SNE,0.48619411946396573,5.88 secs,5.84 secs,0.04 secs,-
Word2Vec,t-SNE,0.36521549924871993,5.92 secs,5.84 secs,0.08 secs,-
SBERT,t-SNE,0.7119088658621565,87.08 secs,0.0 secs,87.08 secs,0.86
USE,t-SNE,0.40711221024194116,4.97 secs,0.0 secs,4.97 secs,-
